Class,Entity,Fixed Carbon [%],Volatiles [%],Ash [%],C [%],H [%],O [%],N [%],S [%],HHVmeas [kJ/g],HHVcalc [kJ/g],Source
Agricultural,Rice Hulls,15.8,63.6,20.6,38.3,4.36,35.45,0.83,0.06,14.89,14.4,http://www.woodgas.com/proximat.htm
Agricultural,Pine Needles,26.12,72.38,1.5,48.21,6.57,43.72,NA,NA,20.12,20.02,http://www.woodgas.com/proximat.htm
Agricultural,Cotton Gin Trash,15.1,67.3,17.6,39.59,5.26,36.38,2.09,0,16.42,15.85,http://www.woodgas.com/proximat.htm
Aquatic Biomass,Water Hyacinth (Florida),NA,80.4,19.6,40.3,4.6,33.99,1.51,0,14.86,15.54,http://www.woodgas.com/proximat.htm
Aquatic Biomass,"Brown Kelp,Giant, Soquel Point",NA,57.9,42.1,27.8,3.77,23.69,4.63,1.05,10.75,10.85,http://www.woodgas.com/proximat.htm
Biomass Average,NA,NA,NA,NA,47.91,5.74,40.98,0.52,0.05,19.11,19.15,http://www.woodgas.com/proximat.htm
Liquid Fuel,n-octane,0,NA,0,84.1,15.9,0,0,0,47.8,48.09,http://www.woodgas.com/proximat.htm
Liquid Fuel,Benzene,0,NA,NA,92.25,7.75,0,0,0,41.79,41.34,http://www.woodgas.com/proximat.htm
Liquid Fuel,Motor Gasoline,0,NA,NA,85.5,14.4,0,0,0.1,46.88,46.83,http://www.woodgas.com/proximat.htm
Liquid Fuel,Kerosene,0,NA,0.01,85.8,14.1,0,0,0.1,46.5,46.58,http://www.woodgas.com/proximat.htm
Liquid Fuel,Methanol,0,NA,0,37.5,12.5,50,0,0,22.69,22.65,http://www.woodgas.com/proximat.htm
Liquid Fuel,Ethanol,0,NA,0,52.2,13,34.8,0,0,30.15,29.94,http://www.woodgas.com/proximat.htm
Pyrolysis Oil,LBL Wood Oil,NA,NA,0.78,72.3,8.6,17.6,0.2,0.01,33.7,33.53,http://www.woodgas.com/proximat.htm
Pyrolysis Oil,BOM Wood Oil,NA,NA,0.66,82,8.8,9.2,0.6,0,36.8,38.02,http://www.woodgas.com/proximat.htm
Pyrolysis Oil,Coke-oven Tar,NA,NA,0.25,91.75,5.5,0.8,0.9,0.8,38.2,38.49,http://www.woodgas.com/proximat.htm
Pyrolysis Oil,Low Temp Tar,NA,NA,NA,83,8.2,7.4,0.6,0.8,38.75,37.94,http://www.woodgas.com/proximat.htm
Solid Fuel,Coal - Pittsburgh Seam,55.8,33.9,10.3,75.5,5,4.9,1.2,3.1,31.75,31.82,http://www.woodgas.com/proximat.htm
Solid Fuel,"Peat, S-H3",26.87,70.13,3,54.81,5.38,35.81,0.89,0.11,22,21.7,http://www.woodgas.com/proximat.htm
Solid Fuel,Charcoal,89.31,93.88,1.02,92.04,2.45,2.96,0.53,1,34.39,34.78,http://www.woodgas.com/proximat.htm
Solid Fuel,Oak char (565C),55.6,27.1,17.3,64.6,2.1,15.5,0.4,0.1,23.05,23.06,http://www.woodgas.com/proximat.htm
Solid Fuel,Casuarina Char (950C),71.53,15.23,13.24,77.54,0.93,5.62,2.67,0,27.12,27.26,http://www.woodgas.com/proximat.htm
Solid Fuel,Coconut Shell Char (750C),87.17,9393,2.9,88.95,0.73,6.04,1.38,0,31.12,31.21,http://www.woodgas.com/proximat.htm
Solid Fuel,Eucalyptus char (950C),70.32,19.22,10.45,76.1,1.33,11.1,1.02,0,27.6,26.75,http://www.woodgas.com/proximat.htm
