Entity	Finish	Value	Source
Candle soot		0.95	http://www.molalla.net/~leeper/coatbar.htm
Graphite	rough cut across grain	0.98	http://www.molalla.net/~leeper/coatbar.htm
Charcoal powder		0.96	http://www.molalla.net/~leeper/coatbar.htm
3M Black Velvet #9560		1.0	http://www.molalla.net/~leeper/coatbar.htm
Martin Black Velvet Paint		0.94	http://www.molalla.net/~leeper/coatbar.htm
Krylon regular Flat Black		0.95	http://www.molalla.net/~leeper/coatbar.htm
Krylon regular Gloss black		0.91	http://www.molalla.net/~leeper/coatbar.htm
Sherwin Williams White Paint (A8W11)		0.87	http://www.molalla.net/~leeper/coatbar.htm
Sherwin Williams White Paint (F8WJ2O3O)		0.82	http://www.molalla.net/~leeper/coatbar.htm
Krylon regular Flat White		0.95	http://www.molalla.net/~leeper/coatbar.htm
Blue	 Cu2O3	0.94	http://www.molalla.net/~leeper/coatbar.htm
Black	 CuO	0.96	http://www.molalla.net/~leeper/coatbar.htm
Green	 Cu2O3	0.92	http://www.molalla.net/~leeper/coatbar.htm
Red	 Fe2O3	0.91	http://www.molalla.net/~leeper/coatbar.htm
White	 Al2O3	0.94	http://www.molalla.net/~leeper/coatbar.htm
White	 Y2O3	0.9	http://www.molalla.net/~leeper/coatbar.htm
White	 ZnO	0.95	http://www.molalla.net/~leeper/coatbar.htm
White	 MgCO3	0.91	http://www.molalla.net/~leeper/coatbar.htm
White	 ZrO2	0.95	http://www.molalla.net/~leeper/coatbar.htm
White	 ThO2	0.9	http://www.molalla.net/~leeper/coatbar.htm
White	 MgO	0.91	http://www.molalla.net/~leeper/coatbar.htm
White	 PbCO3	0.93	http://www.molalla.net/~leeper/coatbar.htm
Yellow	 PbO	0.9	http://www.molalla.net/~leeper/coatbar.htm
Yellow	 PbCrO4	0.93	http://www.molalla.net/~leeper/coatbar.htm
Paint 10% Al		0.52	http://www.molalla.net/~leeper/coatbar.htm
Paint 26% Al		0.3	http://www.molalla.net/~leeper/coatbar.htm
Dow XP-310		0.22	http://www.molalla.net/~leeper/coatbar.htm
Gum Varnish (2 coats)		0.53	http://www.molalla.net/~leeper/coatbar.htm
Gum Varnish (3 coats)		0.5	http://www.molalla.net/~leeper/coatbar.htm
Cellulose Binder (2 coats)		0.34	http://www.molalla.net/~leeper/coatbar.htm
Ice	smooth	0.97	http://www.molalla.net/~leeper/coatbar.htm
Ice	rough	0.98	http://www.molalla.net/~leeper/coatbar.htm
